time,TCO319_a3be_1200,TCO319_a3df_900,TCO399_a3bo_900,ERA5
1993-04-15,13.118360556568973,13.119808974970775,12.983809304796182,14.0355224609375
1993-05-15,13.842176829294013,13.92070897255716,13.977626472851284,14.96612548828125
1993-06-15,14.520236707044168,14.46691583079909,14.529926780130117,15.679931640625
1993-07-15,14.901908147288509,14.731007422460266,14.911788911853629,15.878753662109375
1993-08-15,14.831356264557712,14.762504124610397,14.625155939472242,15.7269287109375
1993-09-15,14.03474798385677,14.014037628875448,14.025364068554117,14.929443359375
1993-10-15,12.889336013452484,12.854854841856309,13.072266097320266,14.015960693359375
1993-11-15,11.583313459359752,11.778712268515202,11.586365173632922,12.82769775390625
1993-12-15,10.789345234384163,11.024102209120391,10.81684524843782,12.3125
1994-01-15,10.690516804329453,10.769121703598671,10.905515458962592,12.046142578125
1994-02-15,10.98594027484459,11.264329991520716,11.251842817120897,12.092987060546875
1994-03-15,11.814144774169373,12.065965986096634,12.00770702964318,12.990325927734375
1994-04-15,13.013102338944273,13.000727945690377,13.26701016458685,14.08087158203125
1994-05-15,13.910007283619317,13.848165859996053,14.09672376744762,14.912933349609375
1994-06-15,14.590912027734666,14.584700597512247,14.657143188780196,15.7286376953125
1994-07-15,14.976526206887039,14.812178753068073,14.84857663867687,15.954132080078125
1994-08-15,14.749535635719099,14.845751296170079,14.728908552850308,15.72705078125
1994-09-15,14.13119730530309,14.322096295561664,14.056296503155826,15.20758056640625
1994-10-15,12.794152970643117,13.114175022797061,13.029637304119168,14.154052734375
1994-11-15,11.432458731951215,11.784596491123883,11.75571624040606,13.120849609375
1994-12-15,10.932000450386377,10.878042913957833,10.860488437566309,12.393218994140625
1995-01-15,10.90456515029075,10.79762869117163,10.642459180889054,12.312591552734375
1995-02-15,11.30896548102612,11.09965338308056,11.063718084928913,12.79461669921875
1995-03-15,12.075451505665379,11.919220752455317,11.944305990651893,13.1732177734375
1995-04-15,13.102693569520511,12.998510616893592,13.199818429055957,14.24200439453125
1995-05-15,13.936010434587198,13.884666169124367,14.11977872499267,15.0262451171875
1995-06-15,14.528607218277974,14.593123034946643,14.631589901773282,15.896484375
1995-07-15,14.956090736497837,14.98067545834931,14.974439944978826,16.12481689453125
1995-08-15,14.737200756386565,14.92880020560699,14.96229306063617,16.004547119140625
1995-09-15,14.040080639207758,14.155967259453632,14.269349264508756,15.2454833984375
1995-10-15,12.904491549575104,13.052470623500048,13.088232045667269,14.25128173828125
1995-11-15,11.568815261110066,11.862698881017687,11.959440804924839,13.14599609375
1995-12-15,10.696055041921037,11.071920816771089,11.139407714347689,12.3248291015625
1996-01-15,10.752097549134268,11.032221792715935,10.820869647261398,12.082275390625
1996-02-15,11.058597128745191,11.191383300721668,11.30965064534299,12.50726318359375
1996-03-15,11.973755711441262,12.048080965162589,12.27544399807232,13.098602294921875
1996-04-15,13.085413492657267,13.162564422066035,13.169639505197628,14.016845703125
1996-05-15,13.936025082971923,14.11621082145723,14.08419420871265,14.894195556640625
1996-06-15,14.452427124744304,14.80707973535175,14.690789157043545,15.666778564453125
1996-07-15,14.863956484695299,15.21034506815488,15.124004382391794,16.0224609375
1996-08-15,15.01088635195049,14.985554139114319,15.087733634499235,15.99981689453125
1996-09-15,14.181045456541105,14.24357635448689,14.331161046695607,15.11846923828125
1996-10-15,13.12481482465133,13.188582938537024,13.153180240560346,14.005889892578125
1996-11-15,12.060668411416335,11.912920897578223,11.918300191623493,13.1507568359375
1996-12-15,11.188445587626992,11.023426415538438,11.12475667675028,12.41925048828125
